Customer: 0 || prods: 46 || in queue 0.776 sec || total 0.861 sec || visited 2
Customer: 167 || prods: 32 || in queue 0.569 sec || total 0.766 sec || visited 1
Customer: 168 || prods: 41 || in queue 0.593 sec || total 0.639 sec || visited 1
Customer: 169 || prods: 54 || in queue 1.084 sec || total 1.214 sec || visited 1
Customer: 170 || prods: 68 || in queue 1.436 sec || total 1.524 sec || visited 1
Customer: 171 || prods: 83 || in queue 1.689 sec || total 1.862 sec || visited 1
Customer: 172 || prods: 12 || in queue 2.044 sec || total 2.202 sec || visited 1
Customer: 173 || prods: 46 || in queue 0.472 sec || total 0.514 sec || visited 1
Customer: 174 || prods: 66 || in queue 0.356 sec || total 0.459 sec || visited 1
Customer: 175 || prods: 24 || in queue 0.430 sec || total 0.553 sec || visited 1
Customer: 176 || prods: 49 || in queue 1.114 sec || total 1.156 sec || visited 1
Customer: 177 || prods: 37 || in queue 1.510 sec || total 1.521 sec || visited 1
Customer: 178 || prods: 86 || in queue 1.774 sec || total 1.958 sec || visited 1
Customer: 179 || prods: 99 || in queue 2.076 sec || total 2.226 sec || visited 1
Customer: 180 || prods: 34 || in queue 0.445 sec || total 0.507 sec || visited 1
Customer: 181 || prods: 77 || in queue 0.520 sec || total 0.664 sec || visited 1
Customer: 182 || prods: 25 || in queue 0.442 sec || total 0.561 sec || visited 1
Customer: 183 || prods: 17 || in queue 0.352 sec || total 0.367 sec || visited 1
Customer: 184 || prods: 40 || in queue 1.883 sec || total 1.937 sec || visited 1
Customer: 185 || prods: 19 || in queue 2.145 sec || total 2.213 sec || visited 1
Customer: 186 || prods: 32 || in queue 0.236 sec || total 0.408 sec || visited 1
Customer: 187 || prods: 33 || in queue 0.446 sec || total 0.615 sec || visited 1
Customer: 188 || prods: 61 || in queue 0.428 sec || total 0.616 sec || visited 1
Customer: 189 || prods: 99 || in queue 1.947 sec || total 1.993 sec || visited 1
Customer: 190 || prods: 45 || in queue 2.020 sec || total 2.127 sec || visited 1
Customer: 191 || prods: 55 || in queue 0.506 sec || total 0.699 sec || visited 1
Customer: 192 || prods: 16 || in queue 0.351 sec || total 0.476 sec || visited 1
Customer: 193 || prods: 57 || in queue 0.298 sec || total 0.408 sec || visited 1
Customer: 194 || prods: 20 || in queue 0.387 sec || total 0.485 sec || visited 1
Customer: 195 || prods: 96 || in queue 0.489 sec || total 0.635 sec || visited 1
Customer: 196 || prods: 13 || in queue 2.353 sec || total 2.500 sec || visited 1
Customer: 197 || prods: 69 || in queue 2.329 sec || total 2.395 sec || visited 1
Customer: 198 || prods: 91 || in queue 2.159 sec || total 2.214 sec || visited 1
Customer: 199 || prods: 16 || in queue 0.755 sec || total 0.894 sec || visited 1
Customer: 200 || prods: 47 || in queue 0.877 sec || total 0.969 sec || visited 1
Customer: 201 || prods: 48 || in queue 0.760 sec || total 0.771 sec || visited 1
Customer: 202 || prods: 42 || in queue 0.533 sec || total 0.675 sec || visited 1
Customer: 203 || prods: 71 || in queue 0.705 sec || total 0.784 sec || visited 1
Customer: 204 || prods: 20 || in queue 2.274 sec || total 2.413 sec || visited 1
Customer: 205 || prods: 5 || in queue 0.383 sec || total 0.400 sec || visited 1
Customer: 206 || prods: 11 || in queue 1.689 sec || total 1.792 sec || visited 1
Customer: 207 || prods: 45 || in queue 1.800 sec || total 1.931 sec || visited 1
Customer: 208 || prods: 5 || in queue 0.653 sec || total 0.831 sec || visited 1
Customer: 209 || prods: 69 || in queue 0.489 sec || total 0.500 sec || visited 1
Customer: 210 || prods: 4 || in queue 0.281 sec || total 0.319 sec || visited 1
Customer: 211 || prods: 66 || in queue 2.434 sec || total 2.454 sec || visited 1
Customer: 212 || prods: 3 || in queue 0.426 sec || total 0.609 sec || visited 1
Customer: 213 || prods: 34 || in queue 0.318 sec || total 0.341 sec || visited 1
Customer: 214 || prods: 48 || in queue 1.943 sec || total 1.954 sec || visited 1
Customer: 215 || prods: 34 || in queue 0.467 sec || total 0.649 sec || visited 1
Customer: 216 || prods: 75 || in queue 0.381 sec || total 0.545 sec || visited 1
Customer: 217 || prods: 12 || in queue 1.855 sec || total 1.977 sec || visited 1
Customer: 218 || prods: 22 || in queue 0.244 sec || total 0.314 sec || visited 1
Customer: 219 || prods: 89 || in queue 0.534 sec || total 0.716 sec || visited 1
Customer: 220 || prods: 15 || in queue 0.603 sec || total 0.792 sec || visited 1
Customer: 221 || prods: 80 || in queue 1.895 sec || total 2.057 sec || visited 1
Customer: 222 || prods: 18 || in queue 0.555 sec || total 0.733 sec || visited 1
Customer: 223 || prods: 52 || in queue 0.530 sec || total 0.660 sec || visited 1
Customer: 224 || prods: 30 || in queue 0.518 sec || total 0.571 sec || visited 1
Customer: 225 || prods: 27 || in queue 0.667 sec || total 0.776 sec || visited 1
Customer: 226 || prods: 53 || in queue 0.193 sec || total 0.350 sec || visited 1
Customer: 227 || prods: 95 || in queue 2.200 sec || total 2.347 sec || visited 1
Customer: 228 || prods: 20 || in queue 1.976 sec || total 2.113 sec || visited 1
Customer: 229 || prods: 57 || in queue 0.659 sec || total 0.730 sec || visited 1
Customer: 230 || prods: 57 || in queue 0.398 sec || total 0.581 sec || visited 1
Customer: 231 || prods: 97 || in queue 0.869 sec || total 0.918 sec || visited 1
Customer: 232 || prods: 27 || in queue 1.955 sec || total 1.966 sec || visited 1
Customer: 233 || prods: 83 || in queue 2.399 sec || total 2.456 sec || visited 1
Customer: 234 || prods: 55 || in queue 0.690 sec || total 0.734 sec || visited 1
Customer: 235 || prods: 40 || in queue 2.420 sec || total 2.579 sec || visited 1
Customer: 236 || prods: 44 || in queue 0.289 sec || total 0.482 sec || visited 1
Customer: 237 || prods: 64 || in queue 0.535 sec || total 0.562 sec || visited 1
Customer: 238 || prods: 35 || in queue 1.862 sec || total 2.051 sec || visited 1
Customer: 239 || prods: 50 || in queue 1.893 sec || total 1.905 sec || visited 1
Customer: 240 || prods: 40 || in queue 2.387 sec || total 2.551 sec || visited 1
Customer: 241 || prods: 49 || in queue 0.638 sec || total 0.726 sec || visited 1
Customer: 242 || prods: 56 || in queue 0.158 sec || total 0.242 sec || visited 1
Customer: 243 || prods: 97 || in queue 0.456 sec || total 0.616 sec || visited 1
Customer: 244 || prods: 75 || in queue 0.983 sec || total 1.129 sec || visited 1
Customer: 245 || prods: 89 || in queue 0.848 sec || total 0.906 sec || visited 1
Customer: 246 || prods: 82 || in queue 1.945 sec || total 2.123 sec || visited 1
Customer: 247 || prods: 31 || in queue 0.638 sec || total 0.691 sec || visited 1
Customer: 248 || prods: 65 || in queue 2.555 sec || total 2.679 sec || visited 2
Customer: 249 || prods: 66 || in queue 2.476 sec || total 2.505 sec || visited 1
Customer: 250 || prods: 42 || in queue 2.307 sec || total 2.467 sec || visited 2
Customer: 251 || prods: 15 || in queue 0.472 sec || total 0.508 sec || visited 1
Customer: 252 || prods: 39 || in queue 2.053 sec || total 2.102 sec || visited 1
Customer: 253 || prods: 77 || in queue 1.170 sec || total 1.292 sec || visited 1
Customer: 254 || prods: 61 || in queue 1.014 sec || total 1.038 sec || visited 1
Customer: 255 || prods: 50 || in queue 0.293 sec || total 0.344 sec || visited 1
Customer: 256 || prods: 99 || in queue 2.424 sec || total 2.608 sec || visited 2
Customer: 257 || prods: 94 || in queue 0.549 sec || total 0.579 sec || visited 1
Customer: 258 || prods: 85 || in queue 0.971 sec || total 1.022 sec || visited 2
Customer: 259 || prods: 71 || in queue 1.297 sec || total 1.308 sec || visited 1
Customer: 260 || prods: 37 || in queue 1.356 sec || total 1.367 sec || visited 1
Customer: 261 || prods: 90 || in queue 1.526 sec || total 1.583 sec || visited 1
Customer: 262 || prods: 78 || in queue 0.307 sec || total 0.386 sec || visited 1
Customer: 263 || prods: 40 || in queue 2.265 sec || total 2.441 sec || visited 1
Customer: 264 || prods: 91 || in queue 1.042 sec || total 1.095 sec || visited 2
Customer: 265 || prods: 3 || in queue 0.964 sec || total 1.147 sec || visited 1
Customer: 266 || prods: 90 || in queue 0.529 sec || total 0.560 sec || visited 2
Customer: 267 || prods: 62 || in queue 5.799 sec || total 5.888 sec || visited 3
Customer: 268 || prods: 70 || in queue 1.872 sec || total 1.883 sec || visited 1
Customer: 269 || prods: 9 || in queue 0.115 sec || total 0.209 sec || visited 1
Customer: 270 || prods: 21 || in queue 0.122 sec || total 0.287 sec || visited 1
Customer: 271 || prods: 44 || in queue 2.264 sec || total 2.446 sec || visited 1
Customer: 272 || prods: 69 || in queue 1.081 sec || total 1.215 sec || visited 1
Customer: 273 || prods: 11 || in queue 1.129 sec || total 1.283 sec || visited 1
Customer: 274 || prods: 31 || in queue 0.988 sec || total 1.030 sec || visited 1
Customer: 275 || prods: 24 || in queue 0.150 sec || total 0.162 sec || visited 1
Customer: 276 || prods: 53 || in queue 1.184 sec || total 1.285 sec || visited 1
Customer: 277 || prods: 77 || in queue 4.595 sec || total 4.619 sec || visited 3
Customer: 278 || prods: 6 || in queue 1.031 sec || total 1.196 sec || visited 1
Customer: 279 || prods: 5 || in queue 2.071 sec || total 2.202 sec || visited 1
Customer: 280 || prods: 3 || in queue 1.063 sec || total 1.136 sec || visited 1
Customer: 281 || prods: 87 || in queue 0.221 sec || total 0.242 sec || visited 1
Customer: 282 || prods: 97 || in queue 0.231 sec || total 0.329 sec || visited 1
Customer: 283 || prods: 11 || in queue 1.764 sec || total 1.961 sec || visited 2
Customer: 284 || prods: 10 || in queue 3.179 sec || total 3.254 sec || visited 3
Customer: 285 || prods: 70 || in queue 2.034 sec || total 2.160 sec || visited 2
Customer: 286 || prods: 21 || in queue 1.070 sec || total 1.081 sec || visited 1
Customer: 287 || prods: 52 || in queue 0.239 sec || total 0.375 sec || visited 1
Customer: 288 || prods: 57 || in queue 0.161 sec || total 0.225 sec || visited 1
Customer: 289 || prods: 4 || in queue 0.259 sec || total 0.429 sec || visited 1
Customer: 290 || prods: 75 || in queue 0.374 sec || total 0.505 sec || visited 1
Customer: 291 || prods: 76 || in queue 0.189 sec || total 0.319 sec || visited 1
Customer: 292 || prods: 48 || in queue 0.875 sec || total 0.966 sec || visited 1
Customer: 293 || prods: 56 || in queue 0.959 sec || total 1.036 sec || visited 1
Customer: 294 || prods: 42 || in queue 0.342 sec || total 0.379 sec || visited 1
Customer: 295 || prods: 44 || in queue 1.862 sec || total 1.890 sec || visited 1
Customer: 296 || prods: 25 || in queue 1.827 sec || total 1.913 sec || visited 1
Customer: 297 || prods: 93 || in queue 0.480 sec || total 0.578 sec || visited 1
Customer: 298 || prods: 99 || in queue 1.099 sec || total 1.199 sec || visited 1
Customer: 299 || prods: 20 || in queue 3.019 sec || total 3.055 sec || visited 3
Customer: 300 || prods: 90 || in queue 3.379 sec || total 3.574 sec || visited 3
Customer: 301 || prods: 45 || in queue 1.842 sec || total 2.035 sec || visited 1
Customer: 302 || prods: 13 || in queue 1.057 sec || total 1.091 sec || visited 2
Customer: 303 || prods: 35 || in queue 1.834 sec || total 1.857 sec || visited 1
Customer: 304 || prods: 58 || in queue 0.750 sec || total 0.762 sec || visited 1
Customer: 305 || prods: 28 || in queue 0.732 sec || total 0.909 sec || visited 1
Customer: 306 || prods: 92 || in queue 0.565 sec || total 0.655 sec || visited 1
Customer: 307 || prods: 18 || in queue 0.346 sec || total 0.434 sec || visited 1
Customer: 308 || prods: 63 || in queue 0.660 sec || total 0.724 sec || visited 1
Customer: 309 || prods: 38 || in queue 1.886 sec || total 1.970 sec || visited 1
Customer: 310 || prods: 99 || in queue 0.912 sec || total 1.041 sec || visited 1
Customer: 311 || prods: 64 || in queue 0.694 sec || total 0.763 sec || visited 1
Customer: 312 || prods: 32 || in queue 0.993 sec || total 1.118 sec || visited 1
Customer: 313 || prods: 93 || in queue 2.827 sec || total 2.944 sec || visited 2
Customer: 314 || prods: 85 || in queue 1.691 sec || total 1.704 sec || visited 2
Customer: 315 || prods: 6 || in queue 2.364 sec || total 2.384 sec || visited 3
Customer: 316 || prods: 97 || in queue 2.195 sec || total 2.328 sec || visited 2
Customer: 317 || prods: 1 || in queue 1.686 sec || total 1.754 sec || visited 1
Customer: 318 || prods: 61 || in queue 0.168 sec || total 0.327 sec || visited 1
Customer: 319 || prods: 39 || in queue 1.002 sec || total 1.014 sec || visited 1
Customer: 320 || prods: 46 || in queue 1.545 sec || total 1.712 sec || visited 2
Customer: 321 || prods: 2 || in queue 0.606 sec || total 0.678 sec || visited 1
Customer: 322 || prods: 4 || in queue 0.583 sec || total 0.722 sec || visited 1
Customer: 323 || prods: 47 || in queue 0.675 sec || total 0.791 sec || visited 1
Customer: 324 || prods: 78 || in queue 1.244 sec || total 1.345 sec || visited 1
Customer: 325 || prods: 98 || in queue 1.104 sec || total 1.143 sec || visited 1
Customer: 326 || prods: 10 || in queue 1.266 sec || total 1.311 sec || visited 1
Customer: 327 || prods: 55 || in queue 1.701 sec || total 1.876 sec || visited 1
Customer: 328 || prods: 12 || in queue 0.635 sec || total 0.752 sec || visited 1
Customer: 329 || prods: 60 || in queue 2.823 sec || total 2.985 sec || visited 3
Customer: 330 || prods: 80 || in queue 0.416 sec || total 0.451 sec || visited 1
Customer: 331 || prods: 29 || in queue 0.354 sec || total 0.545 sec || visited 1
Customer: 332 || prods: 35 || in queue 0.146 sec || total 0.330 sec || visited 1
Customer: 333 || prods: 70 || in queue 1.562 sec || total 1.576 sec || visited 1
Customer: 334 || prods: 71 || in queue 0.188 sec || total 0.214 sec || visited 1
Customer: 335 || prods: 15 || in queue 1.605 sec || total 1.702 sec || visited 1
Customer: 336 || prods: 58 || in queue 0.957 sec || total 0.968 sec || visited 2
Customer: 337 || prods: 22 || in queue 0.406 sec || total 0.463 sec || visited 1
Customer: 338 || prods: 64 || in queue 0.803 sec || total 0.957 sec || visited 3
Customer: 339 || prods: 73 || in queue 1.203 sec || total 1.333 sec || visited 1
Customer: 340 || prods: 41 || in queue 1.675 sec || total 1.734 sec || visited 1
Customer: 341 || prods: 62 || in queue 1.048 sec || total 1.067 sec || visited 1
Customer: 342 || prods: 77 || in queue 1.836 sec || total 1.858 sec || visited 1
Customer: 343 || prods: 26 || in queue 0.331 sec || total 0.384 sec || visited 1
Customer: 344 || prods: 26 || in queue 0.343 sec || total 0.409 sec || visited 1
Customer: 345 || prods: 28 || in queue 1.621 sec || total 1.743 sec || visited 3
Customer: 346 || prods: 62 || in queue 0.301 sec || total 0.434 sec || visited 1
Customer: 347 || prods: 18 || in queue 2.016 sec || total 2.178 sec || visited 1
Customer: 348 || prods: 57 || in queue 2.006 sec || total 2.097 sec || visited 1
